countryIsoCode,country,indexCode,index,dimension,indicatorCode,indicator,year,value,note
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2019,0.593,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2020,0.595,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2021,0.594,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2022,0.602,
KHM,Cambodia,HDI,Human Development Index,,hdi,Human Development Index (value),2023,0.606,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1990,55.205,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1991,55.582,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1992,55.747,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1993,56.036,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1994,56.221,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1995,56.562,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1996,56.832,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1997,57.266,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1998,57.859,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),1999,58.611,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2000,59.491,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2001,60.457,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2002,61.395,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2003,62.345,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2004,63.256,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2005,64.113,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2006,64.886,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2007,65.549,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2008,66.147,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2009,66.747,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2010,67.311,
KHM,Cambodia,HDI,Human Development Index,,le,Life Expectancy at Birth (years),2011,67.869,
