Country_Code,Country_Name,Year,HDI_Value,Life_Expectancy,Education_Years,FDI_Net_Inflows,GDP_Per_Capita,FDI_to_HDI_Ratio,HDI_Level
PHL,Philippines,1994,0.606,66.0,7.335999966,1591000000.0,1059.9838951587,2625412541.2541256,Medium
PHL,Philippines,1995,0.609,66.311,7.375,1478000000.0,1199.84171414993,2426929392.446634,Medium
PHL,Philippines,1996,0.619,66.691,7.414000034,1517000000.0,1311.09249403865,2450726978.9983845,Medium
PHL,Philippines,1997,0.623,66.994,7.453000069,1222000000.0,1273.27604875636,1961476725.5216691,Medium
PHL,Philippines,1998,0.624,67.212,7.492000103,2287000000.0,982.865943728564,3665064102.564103,Medium
PHL,Philippines,1999,0.628,67.503,7.531000137,1829000000.0,1101.43515975318,2912420382.165605,Medium
PHL,Philippines,2000,0.632,67.789,7.570000172,1487000000.0,1050.79273107952,2352848101.265823,Medium
PHL,Philippines,2001,0.636,67.829,7.837500215,760000000.0,969.530611744453,1194968553.4591196,Medium
PHL,Philippines,2002,0.643,67.886,8.105000257,1769000000.0,1014.90879320106,2751166407.465008,Medium
PHL,Philippines,2003,0.648,68.049,8.3725003,492000000.0,1027.2301192843,759259259.2592592,Medium
PHL,Philippines,2004,0.655,68.301,8.640000343,592000000.0,1099.63013023758,903816793.8931296,Medium
PHL,Philippines,2005,0.656,68.423,8.657500267,1664000000.0,1220.46018559867,2536585365.853658,Medium
PHL,Philippines,2006,0.654,68.172,8.675000191,2707414996.79964,1426.14649179546,4139778282.568257,Medium
PHL,Philippines,2007,0.659,68.549,8.692500114,2918724840.50407,1712.65543282793,4429021002.282352,Medium
PHL,Philippines,2008,0.662,68.643,8.710000038,1340027563.20325,1959.29233534978,2024210820.548716,Medium
PHL,Philippines,2009,0.662,68.631,8.809999943,2064620677.76657,1864.45043406471,3118762353.121707,Medium
PHL,Philippines,2010,0.669,68.883,8.909999847,1070386939.91896,2162.91375885614,1599980478.2047234,Medium
PHL,Philippines,2011,0.674,69.096,8.989999771,2007150725.40003,2383.91892522087,2977968435.311617,Medium
PHL,Philippines,2012,0.681,69.237,9.069999695,3215415155.43566,2614.61644401308,4721608157.761615,Medium
PHL,Philippines,2013,0.687,69.283,9.149999619,3737371739.84519,2781.27957677397,5440133536.892562,Medium
PHL,Philippines,2014,0.689,69.311,8.90749979,5739574024.13183,2866.83803761407,8330296116.301641,Medium
PHL,Philippines,2015,0.69,69.45,8.664999962,5639155961.87389,2909.85818010301,8172689799.817232,Medium
PHL,Philippines,2016,0.69,69.49,8.422500134,8279548274.88501,2985.19564024046,11999345325.920303,Medium
PHL,Philippines,2017,0.694,69.966,8.180000305,10256442398.8834,3038.12124959289,14778735445.076946,Medium
PHL,Philippines,2018,0.7,69.761,8.575000286,9948598823.96867,3168.51036609727,14212284034.240955,High
PHL,Philippines,2019,0.708,69.68,8.970000267,8671365873.65689,3400.78949767074,12247691911.94476,High
PHL,Philippines,2020,0.699,70.097,8.890000343,6822133290.81919,3227.57910235199,9759847340.22774,Medium
PHL,Philippines,2021,0.69,66.675,9.433619976,11983363327.4771,3484.38593882819,17367193228.227684,Medium
PHL,Philippines,2022,0.714,69.472,9.977239609,9492234668.1091,3548.06930572116,13294446313.878292,High
PHL,Philippines,2023,0.72,69.833,9.977239609,8925128471.59541,3804.08274131097,12396011766.104736,High
SGP,Singapore,1990,0.819,74.598,7.539999962,5574738855.37738,11861.7561591366,6806762949.178731,Very High
SGP,Singapore,1991,0.826,75.058,7.768000031,4887094440.10303,14502.3799938606,5916579225.306333,Very High
SGP,Singapore,1992,0.833,75.326,7.996000099,2204342221.03991,16136.2405377661,2646269172.917059,Very High
SGP,Singapore,1993,0.84,75.533,8.224000168,4686312017.48989,18290.130113185,5578942877.964155,Very High
SGP,Singapore,1994,0.848,75.627,8.452000237,8550165226.98863,21552.4100366948,10082742012.95829,Very High
SGP,Singapore,1995,0.854,75.725,8.680000305,11942852103.36,24914.8507020358,13984604336.48712,Very High
SGP,Singapore,1996,0.859,76.05,8.83900032,11432363956.3629,26232.866096827,13308921951.528404,Very High
SGP,Singapore,1997,0.866,76.389,8.998000336,15701783678.7863,26375.8653668113,18131389929.314438,Very High
SGP,Singapore,1998,0.869,76.851,9.157000351,5958646073.68737,21829.2737831583,6856899969.720795,Very High
SGP,Singapore,1999,0.875,77.271,9.316000366,18852989358.6266,21796.6373891001,21546273552.716118,Very High
SGP,Singapore,2000,0.882,77.752,9.475000381,15515295182.2254,23852.8389514753,17591037621.570747,Very High
